2021-07-28 19:28:28,345 Read Config Success
2021-07-28 19:28:29,307 Wallet Connected
2021-07-28 19:28:30,828 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 19:28:37,788 Start Bot
2021-07-28 19:33:58,075 Checking the condition, current price:100.0272%
2021-07-28 19:33:58,787 Checking the condition, current price:100.0272%
2021-07-28 19:33:59,511 Checking the condition, current price:100.0272%
2021-07-28 19:34:00,253 Checking the condition, current price:100.0272%
2021-07-28 19:34:01,041 Checking the condition, current price:100.0272%
2021-07-28 19:34:01,885 Checking the condition, current price:100.0272%
2021-07-28 19:34:02,709 Checking the condition, current price:100.0272%
2021-07-28 19:34:03,510 Checking the condition, current price:100.02702%
2021-07-28 19:34:04,226 Checking the condition, current price:100.02702%
2021-07-28 19:34:05,076 Checking the condition, current price:100.02702%
2021-07-28 19:34:06,011 Checking the condition, current price:100.02702%
2021-07-28 19:34:06,784 Checking the condition, current price:100.02749%
2021-07-28 19:34:07,705 Checking the condition, current price:100.02749%
2021-07-28 19:34:08,601 Checking the condition, current price:100.02749%
2021-07-28 19:34:09,408 Checking the condition, current price:100.02749%
2021-07-28 19:34:10,210 Checking the condition, current price:100.02749%
2021-07-28 19:34:10,955 Checking the condition, current price:100.02749%
2021-07-28 19:34:11,691 Checking the condition, current price:100.02749%
2021-07-28 19:34:12,437 Checking the condition, current price:100.02749%
2021-07-28 19:34:13,371 Checking the condition, current price:100.02749%
2021-07-28 19:34:14,347 Checking the condition, current price:100.02765%
2021-07-28 19:34:15,215 Checking the condition, current price:100.02765%
2021-07-28 19:34:16,086 Checking the condition, current price:100.02765%
2021-07-28 19:34:16,885 Checking the condition, current price:99.95539%
2021-07-28 19:34:18,165 Checking the condition, current price:99.95539%
2021-07-28 19:34:18,940 Checking the condition, current price:99.95539%
2021-07-28 19:34:19,684 Checking the condition, current price:99.95539%
2021-07-28 19:34:20,430 Checking the condition, current price:99.95539%
2021-07-28 19:34:21,153 Checking the condition, current price:99.95539%
2021-07-28 19:34:21,879 Checking the condition, current price:99.96095%
2021-07-28 19:34:22,611 Checking the condition, current price:99.95778%
2021-07-28 19:34:23,337 Checking the condition, current price:99.95778%
2021-07-28 19:34:24,056 Checking the condition, current price:99.95778%
2021-07-28 19:34:24,773 Checking the condition, current price:99.95778%
2021-07-28 19:34:25,492 Checking the condition, current price:99.96433%
2021-07-28 19:34:26,230 Checking the condition, current price:99.96433%
2021-07-28 19:34:27,007 Checking the condition, current price:99.96433%
2021-07-28 19:34:27,834 Checking the condition, current price:99.96433%
2021-07-28 19:34:28,679 Checking the condition, current price:99.96471%
2021-07-28 19:34:29,443 Checking the condition, current price:99.96471%
2021-07-28 19:34:30,204 Checking the condition, current price:99.96471%
2021-07-28 19:34:31,227 Checking the condition, current price:99.96471%
2021-07-28 19:34:32,304 Checking the condition, current price:99.96471%
2021-07-28 19:34:33,024 Checking the condition, current price:99.96471%
2021-07-28 19:34:33,759 Checking the condition, current price:99.96471%
2021-07-28 19:34:34,588 Checking the condition, current price:99.96457%
